 input file is 
mstm-v3.0.inp                 
 input file comments follow:
***********************************************************
  This is the default mstm input file for v.3.0.
  The run is for a 7-sphere cluster of identical spheres.   The positions
  are embedded in the input file.

  The run makes use of the new_run and multiple_run options.

  14 April 2013
***********************************************************
 number of processors:
   1
 input parameters for run number 
    1
 number of spheres, volume size parameter:
    7  0.19129E+01
 position file:
                                                            
 output file:
mstm_default_out.dat                                        
 length, ref. indx. scale factors:
   1.000   1.000   1.000
 chiral factors:
  0.00000E+00  0.00000E+00
 scattering matrix directions based on incident frame
 automatic scattering angle calculation
 thetamin, thetamax:
      0.0    180.0
 number scattering angles:
      181
 epsmie, epssoln, max number iterations:
  0.1000E-05  0.1000E-07 5000
 medium refractive index:
  1.0000  0.0000
 target euler rotation angles:
    0.0000    0.0000    0.0000
 far field kr, iterations/correction:
  0.1000E+09   20
 plane wave incidence
 random orientation calculations
 t matrix calculated, stored in file 
tm_default.dat                                              
 t matrix convergence epsilon:
  0.1000E-06
 all spheres excited (total T matrix) 
 calculation results for run 
    1
 sphere host   ka     x-x(host) y-y(host) z-z(host)  Re(m)     Im(m)      Qext         Qsca        Qabs         Qabs(V)
    1    0    1.0000    0.0000    0.0000    0.0000  2.200000  0.000000  0.37276E+01  0.20263E+01  0.00000E+00  0.00000E+00
    2    0    1.0000    2.0000    0.0000    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
    3    0    1.0000   -2.0000    0.0000    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
    4    0    1.0000    1.0000    1.7321    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
    5    0    1.0000   -1.0000    1.7321    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
    6    0    1.0000    1.0000   -1.7321    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
    7    0    1.0000   -1.0000   -1.7321    0.0000  2.200000  0.000000  0.23461E+01  0.15078E+01  0.00000E+00  0.00000E+00
 total ext, abs, scat efficiencies, w.r.t. xv, and asym. parm
  0.48656E+01  0.44758E-04  0.48656E+01  0.66488E+00
 scattering matrix elements (normalized w/ S11)
   theta      11           12           13           14           22           23           24           33           34           44     
    0.00  0.72056E+01  0.00000E+00  0.00000E+00 -0.12089E-10  0.94774E+00 -0.49991E-11  0.00000E+00  0.94774E+00  0.00000E+00  0.89549E+00
    1.00  0.72014E+01 -0.56929E-04 -0.16816E-13 -0.12097E-10  0.94772E+00 -0.49845E-11 -0.12843E-13  0.94772E+00  0.17262E-05  0.89546E+00
    2.00  0.71888E+01 -0.22768E-03 -0.67220E-13 -0.12122E-10  0.94766E+00 -0.49407E-11 -0.51446E-13  0.94766E+00  0.68650E-05  0.89536E+00
    3.00  0.71678E+01 -0.51213E-03 -0.15108E-12 -0.12163E-10  0.94756E+00 -0.48676E-11 -0.11603E-12  0.94756E+00  0.15297E-04  0.89520E+00
    4.00  0.71386E+01 -0.91009E-03 -0.26819E-12 -0.12219E-10  0.94742E+00 -0.47652E-11 -0.20695E-12  0.94742E+00  0.26823E-04  0.89497E+00
    5.00  0.71012E+01 -0.14213E-02 -0.41822E-12 -0.12291E-10  0.94723E+00 -0.46334E-11 -0.32474E-12  0.94723E+00  0.41162E-04  0.89468E+00
    6.00  0.70557E+01 -0.20454E-02 -0.60080E-12 -0.12376E-10  0.94701E+00 -0.44723E-11 -0.47004E-12  0.94701E+00  0.57949E-04  0.89433E+00
    7.00  0.70023E+01 -0.27819E-02 -0.81543E-12 -0.12473E-10  0.94674E+00 -0.42817E-11 -0.64367E-12  0.94674E+00  0.76736E-04  0.89391E+00
    8.00  0.69413E+01 -0.36304E-02 -0.10615E-11 -0.12582E-10  0.94643E+00 -0.40615E-11 -0.84659E-12  0.94642E+00  0.96985E-04  0.89342E+00
    9.00  0.68727E+01 -0.45901E-02 -0.13384E-11 -0.12700E-10  0.94608E+00 -0.38116E-11 -0.10799E-11  0.94607E+00  0.11807E-03  0.89286E+00
   10.00  0.67970E+01 -0.56606E-02 -0.16453E-11 -0.12825E-10  0.94568E+00 -0.35321E-11 -0.13449E-11  0.94566E+00  0.13927E-03  0.89223E+00
   11.00  0.67143E+01 -0.68409E-02 -0.19814E-11 -0.12956E-10  0.94524E+00 -0.32227E-11 -0.16430E-11  0.94521E+00  0.15977E-03  0.89153E+00
